,Cell Type,Value,Measurement
0,Dorsal root ganglion cell,-54.3,resting membrane potential
1,Dorsal root ganglion cell,-27.4,spike threshold
2,Dorsal root ganglion cell,101.3,spike amplitude
3,Dorsal root ganglion cell,2.0,spike width
4,Dorsal root ganglion cell,0.39,rheobase
5,Dorsal root ganglion cell,192.0,input resistance
6,Dorsal root ganglion cell,-16.9,AHP amplitude
7,Spinal cord intermediate horn motor neuron sympathetic,-59.8,resting membrane potential
8,Spinal cord intermediate horn motor neuron sympathetic,1.14,input resistance
9,Spinal cord intermediate horn motor neuron sympathetic,92.4,membrane time constant
10,Spinal cord intermediate horn motor neuron sympathetic,32.8,cell capacitance
11,Spinal cord intermediate horn motor neuron sympathetic,57.1,spike amplitude
12,Spinal cord intermediate horn motor neuron sympathetic,6.3,spike width
13,Spinal cord intermediate horn motor neuron sympathetic,-45.3,spike threshold
14,Spinal cord intermediate horn motor neuron sympathetic,32.7,rheobase
15,Spinal cord intermediate horn motor neuron sympathetic,11.8,spike peak
16,Spinal cord intermediate horn motor neuron sympathetic,15.2,AHP amplitude
17,Hippocampus CA1 pyramidal cell,0.7,rheobase
18,Hippocampus CA1 pyramidal cell,-51.5,spike threshold
19,Hippocampus CA1 pyramidal cell,1.6,spike half-width
20,Hippocampus CA1 pyramidal cell,120.1,spike amplitude from resting
21,Hippocampus CA1 pyramidal cell,27.9,membrane time constant
22,Hippocampus CA1 pyramidal cell,-64.8,resting membrane potential
23,Hippocampus CA1 pyramidal cell,100.6,input resistance
24,Hippocampus CA1 pyramidal cell,2.7,AHP amplitude
25,Hippocampus CA1 pyramidal cell,16.2,ADP amplitude
26,Cerebellar nucleus cell,-68.58,spike threshold
27,Cerebellar nucleus cell,37.26,spontaneous firing rate
28,Cerebellar nucleus cell,2.13,spike half-width
29,Cerebellar nucleus cell,10.42,fast AHP amplitude
30,Cerebellar nucleus cell,59.26,input resistance
31,Cerebellar nucleus cell,3.14,slow AHP amplitude
32,Cerebellar nucleus cell,-58.84,resting membrane potential
33,Cerebellar nucleus cell,87.21,sag ratio
34,Hippocampus CA3 pyramidal cell,164.0,input resistance
35,Hippocampus CA3 pyramidal cell,61.0,membrane time constant
36,Hippocampus CA3 pyramidal cell,424.0,cell capacitance
37,Hippocampus CA3 pyramidal cell,-76.0,resting membrane potential
38,Hippocampus CA3 pyramidal cell,-58.0,spike threshold
39,Hippocampus CA3 pyramidal cell,0.79,spike half-width
40,Hippocampus CA3 pyramidal cell,-64.0,fast AHP voltage
41,Hippocampus CA3 pyramidal cell,26.0,spike peak
42,Hippocampus CA3 pyramidal cell,6.0,ADP amplitude
43,Basalis nucleus cholinergic neuron,-48.0,resting membrane potential
44,Basalis nucleus cholinergic neuron,268.0,input resistance
45,Basalis nucleus cholinergic neuron,28.2,membrane time constant
46,Basalis nucleus cholinergic neuron,0.97,sag ratio
47,Basalis nucleus cholinergic neuron,33.0,rheobase
48,Basalis nucleus cholinergic neuron,-31.9,spike threshold
49,Basalis nucleus cholinergic neuron,0.52,spike half-width
50,Basalis nucleus cholinergic neuron,8.7,slow AHP amplitude
51,Basalis nucleus cholinergic neuron,66.7,spike amplitude
52,Basalis nucleus cholinergic neuron,16.0,fast AHP amplitude
53,Neocortex basket cell,87.0,spike amplitude
54,Neocortex basket cell,-40.0,spike threshold
55,Neocortex basket cell,123.0,rheobase
56,Neocortex basket cell,4.8,membrane time constant
57,Neocortex basket cell,142.0,input resistance
58,Neocortex basket cell,-59.0,resting membrane potential
59,Neocortex basket cell,0.3,spike half-width
60,Neocortex basket cell,-19.0,AHP amplitude
61,Neocortex basket cell,1.4,adaptation ratio (last/first ISI)
62,Spinal cord ventral horn motor neuron alpha,-55.0,resting membrane potential
63,Spinal cord ventral horn motor neuron alpha,11.1,input resistance
64,Spinal cord ventral horn motor neuron alpha,4.9,membrane time constant
65,Spinal cord ventral horn motor neuron alpha,0.6,rheobase
66,Spinal cord ventral horn motor neuron alpha,74.2,spike amplitude from resting
67,Spinal cord ventral horn motor neuron alpha,4.0,sag ratio
68,Spinal cord ventral horn motor neuron alpha,-6.7,AHP amplitude
69,Spinal cord ventral horn motor neuron alpha,6.4,FI slope
70,Neocortex basket cell,-67.0,resting membrane potential
71,Neocortex basket cell,-34.0,spike threshold
72,Neocortex basket cell,132.0,rheobase
73,Neocortex basket cell,52.0,spike amplitude
74,Neocortex basket cell,0.38,spike half-width
75,Neocortex basket cell,220.0,first spike latency
76,Neocortex basket cell,24.0,AHP amplitude
77,Neocortex basket cell,0.85,adaptation ratio (other)
78,Neocortex basket cell,182.0,input resistance
79,Neocortex basket cell,7.7,membrane time constant
80,Dorsal root ganglion cell,29.0,cell diameter
81,Dorsal root ganglion cell,-59.0,resting membrane potential
82,Dorsal root ganglion cell,392.0,input resistance
83,Dorsal root ganglion cell,69.0,cell capacitance
84,Dorsal root ganglion cell,27.0,membrane time constant
85,Dorsal root ganglion cell,-36.0,spike threshold
86,Dorsal root ganglion cell,128.0,rheobase
87,Dorsal root ganglion cell,135.0,AHP duration
88,Dorsal root ganglion cell,105.0,spike amplitude
89,Dorsal root ganglion cell,-11.0,AHP amplitude
90,Neocortex pyramidal cell layer 5-6,-42.56,spike threshold
91,Neocortex pyramidal cell layer 5-6,726.32,rheobase
92,Neocortex pyramidal cell layer 5-6,11.43,membrane time constant
93,Neocortex pyramidal cell layer 5-6,23.31,input resistance
94,Neocortex pyramidal cell layer 5-6,-72.69,resting membrane potential
95,Neocortex pyramidal cell layer 5-6,87.46,spike amplitude
96,Neocortex pyramidal cell layer 5-6,0.63,spike half-width
97,Neocortex pyramidal cell layer 5-6,-7.77,fast AHP amplitude
98,Neocortex pyramidal cell layer 5-6,-12.86,slow AHP amplitude
99,Neostriatum medium spiny neuron,-83.5,resting membrane potential
100,Neostriatum medium spiny neuron,139.0,input resistance
101,Neostriatum medium spiny neuron,74.8,spike amplitude
102,Neostriatum medium spiny neuron,-33.9,spike threshold
103,Neostriatum medium spiny neuron,1.04,spike half-width
104,Neostriatum medium spiny neuron,14.5,AHP duration
105,Neostriatum medium spiny neuron,265.0,rheobase
106,Neostriatum medium spiny neuron,-12.0,AHP amplitude
107,Dorsal root ganglion cell,-60.5,resting membrane potential
108,Dorsal root ganglion cell,-29.6,spike threshold
109,Dorsal root ganglion cell,100.2,spike amplitude
110,Dorsal root ganglion cell,1.85,spike width
111,Dorsal root ganglion cell,0.51,rheobase
112,Dorsal root ganglion cell,225.0,input resistance
113,Dorsal root ganglion cell,-15.5,AHP amplitude
114,Neocortex basket cell,199.0,maximum firing rate
115,Neocortex basket cell,163.92,input resistance
116,Neocortex basket cell,0.46,spike half-width
117,Neocortex basket cell,0.16,rheobase
118,Neocortex basket cell,-30.57,spike threshold
119,Neocortex basket cell,-67.88,resting membrane potential
120,Neocortex basket cell,11.83,membrane time constant
121,Neocortex basket cell,0.78,adaptation ratio
122,Neocortex basket cell,273.28,FI slope
123,Neostriatum medium spiny neuron,-81.0,resting membrane potential
124,Neostriatum medium spiny neuron,15.6,membrane time constant
125,Neostriatum medium spiny neuron,-43.9,spike threshold
126,Neostriatum medium spiny neuron,64.3,spike amplitude
127,Neostriatum medium spiny neuron,0.85,spike half-width
128,Neostriatum medium spiny neuron,0.7,rheobase
129,Neostriatum medium spiny neuron,15.5,AHP amplitude
130,Cerebellar nucleus cell,0.61,input resistance
131,Cerebellar nucleus cell,74.6,membrane time constant
132,Cerebellar nucleus cell,1.44,spike half-width
133,Cerebellar nucleus cell,66.43,spike amplitude
134,Cerebellar nucleus cell,13.6,spontaneous firing rate
135,Amygdaloid nucleus paracapsular intercalated cell,19.8,cell diameter
136,Amygdaloid nucleus paracapsular intercalated cell,14.0,cell diameter
137,Amygdaloid nucleus paracapsular intercalated cell,270.0,input resistance
138,Amygdaloid nucleus paracapsular intercalated cell,22.0,membrane time constant
139,Amygdaloid nucleus paracapsular intercalated cell,0.083,cell capacitance
140,Amygdaloid nucleus paracapsular intercalated cell,0.83,sag ratio
141,Amygdaloid nucleus paracapsular intercalated cell,82.0,spike amplitude
142,Amygdaloid nucleus paracapsular intercalated cell,-16.0,AHP amplitude
143,Amygdaloid nucleus paracapsular intercalated cell,0.6,spike width
144,Neocortex pyramidal cell layer 5-6,114.36,input resistance
145,Neocortex pyramidal cell layer 5-6,9.09,membrane time constant
146,Neocortex pyramidal cell layer 5-6,184.21,rheobase
147,Neocortex pyramidal cell layer 5-6,-46.26,spike threshold
148,Neocortex pyramidal cell layer 5-6,88.86,spike amplitude
149,Neocortex pyramidal cell layer 5-6,0.881,spike half-width
150,Neocortex pyramidal cell layer 5-6,7.48,sag ratio
151,Neocortex pyramidal cell layer 5-6,-71.2,resting membrane potential
152,Neocortex pyramidal cell layer 5-6,363.4,input resistance
153,Neocortex pyramidal cell layer 5-6,105.5,cell capacitance
154,Neocortex pyramidal cell layer 5-6,90.9,rheobase
155,Neocortex pyramidal cell layer 5-6,-40.7,spike threshold
156,Neocortex pyramidal cell layer 5-6,1.58,spike half-width
157,Neocortex pyramidal cell layer 5-6,85.9,spike amplitude
158,Neocortex pyramidal cell layer 5-6,-54.3,AHP voltage
