Cell Type,Value,Measurement
Dorsal root ganglion cell,-54.3,resting membrane potential
Dorsal root ganglion cell,-27.4,spike threshold
Dorsal root ganglion cell,101.3,spike amplitude
Dorsal root ganglion cell,2.0,spike width
Dorsal root ganglion cell,0.39,rheobase
Dorsal root ganglion cell,192.0,input resistance
Dorsal root ganglion cell,-16.9,AHP amplitude
Spinal cord intermediate horn motor neuron sympathetic,-59.8,resting membrane potential
Spinal cord intermediate horn motor neuron sympathetic,1.14,input resistance
Spinal cord intermediate horn motor neuron sympathetic,92.4,membrane time constant
Spinal cord intermediate horn motor neuron sympathetic,32.8,cell capacitance
Spinal cord intermediate horn motor neuron sympathetic,57.1,spike amplitude
Spinal cord intermediate horn motor neuron sympathetic,6.3,spike width
Spinal cord intermediate horn motor neuron sympathetic,-45.3,spike threshold
Spinal cord intermediate horn motor neuron sympathetic,32.7,rheobase
Spinal cord intermediate horn motor neuron sympathetic,11.8,spike peak
Spinal cord intermediate horn motor neuron sympathetic,15.2,AHP amplitude
Hippocampus CA1 pyramidal cell,0.7,rheobase
Hippocampus CA1 pyramidal cell,-51.5,spike threshold
Hippocampus CA1 pyramidal cell,1.6,spike half-width
Hippocampus CA1 pyramidal cell,120.1,spike amplitude from resting
Hippocampus CA1 pyramidal cell,27.9,membrane time constant
Hippocampus CA1 pyramidal cell,-64.8,resting membrane potential
Hippocampus CA1 pyramidal cell,100.6,input resistance
Hippocampus CA1 pyramidal cell,2.7,AHP amplitude
Hippocampus CA1 pyramidal cell,16.2,ADP amplitude
Cerebellar nucleus cell,-68.58,spike threshold
Cerebellar nucleus cell,37.26,spontaneous firing rate
Cerebellar nucleus cell,2.13,spike half-width
Cerebellar nucleus cell,10.42,fast AHP amplitude
Cerebellar nucleus cell,59.26,input resistance
Cerebellar nucleus cell,3.14,slow AHP amplitude
Cerebellar nucleus cell,-58.84,resting membrane potential
Cerebellar nucleus cell,87.21,sag ratio
Hippocampus CA3 pyramidal cell,164.0,input resistance
Hippocampus CA3 pyramidal cell,61.0,membrane time constant
Hippocampus CA3 pyramidal cell,424.0,cell capacitance
Hippocampus CA3 pyramidal cell,-76.0,resting membrane potential
Hippocampus CA3 pyramidal cell,-58.0,spike threshold
Hippocampus CA3 pyramidal cell,0.79,spike half-width
Hippocampus CA3 pyramidal cell,-64.0,fast AHP voltage
Hippocampus CA3 pyramidal cell,26.0,spike peak
Hippocampus CA3 pyramidal cell,6.0,ADP amplitude
Basalis nucleus cholinergic neuron,-48.0,resting membrane potential
Basalis nucleus cholinergic neuron,268.0,input resistance
Basalis nucleus cholinergic neuron,28.2,membrane time constant
Basalis nucleus cholinergic neuron,0.97,sag ratio
Basalis nucleus cholinergic neuron,33.0,rheobase
Basalis nucleus cholinergic neuron,-31.9,spike threshold
Basalis nucleus cholinergic neuron,0.52,spike half-width
Basalis nucleus cholinergic neuron,8.7,slow AHP amplitude
Basalis nucleus cholinergic neuron,66.7,spike amplitude
Basalis nucleus cholinergic neuron,16.0,fast AHP amplitude
Neocortex basket cell,87.0,spike amplitude
Neocortex basket cell,-40.0,spike threshold
Neocortex basket cell,123.0,rheobase
Neocortex basket cell,4.8,membrane time constant
Neocortex basket cell,142.0,input resistance
Neocortex basket cell,-59.0,resting membrane potential
Neocortex basket cell,0.3,spike half-width
Neocortex basket cell,-19.0,AHP amplitude
Neocortex basket cell,1.4,adaptation ratio (last/first ISI)
Spinal cord ventral horn motor neuron alpha,-55.0,resting membrane potential
Spinal cord ventral horn motor neuron alpha,11.1,input resistance
Spinal cord ventral horn motor neuron alpha,4.9,membrane time constant
Spinal cord ventral horn motor neuron alpha,0.6,rheobase
Spinal cord ventral horn motor neuron alpha,74.2,spike amplitude from resting
Spinal cord ventral horn motor neuron alpha,4.0,sag ratio
Spinal cord ventral horn motor neuron alpha,-6.7,AHP amplitude
Spinal cord ventral horn motor neuron alpha,6.4,FI slope
Neocortex basket cell,-67.0,resting membrane potential
Neocortex basket cell,-34.0,spike threshold
Neocortex basket cell,132.0,rheobase
Neocortex basket cell,52.0,spike amplitude
